,dimensiones,subpoblaciones,tiempo_exec
397,92,25,8
398,92,48,29
399,92,71,42
400,93,2,7
401,93,25,8
402,93,48,14
403,93,71,23
404,94,2,6
405,94,25,8
406,94,48,14
407,94,71,20
408,94,94,23
409,95,2,6
410,95,25,9
411,95,48,14
412,95,71,20
413,95,94,22
414,96,2,6
415,96,26,21
416,96,50,18
417,96,74,20
418,97,2,9
419,97,26,15
420,97,50,15
421,97,74,21
422,98,2,6
423,98,26,20
424,98,50,18
425,98,74,23
426,98,98,24
427,99,2,7
428,99,26,9
429,99,50,17
430,99,74,42
431,99,98,30
432,100,2,6
433,100,27,23
434,100,52,16
435,100,77,22
436,101,2,5
437,101,27,13
438,101,52,16
439,101,77,50
440,102,2,12
441,102,27,23
442,102,52,17
443,102,77,28
444,102,102,56
445,103,2,7
446,103,27,10
447,103,52,24
448,103,77,24
449,103,102,53
450,104,2,12
451,104,28,10
452,104,54,18
453,104,80,25
454,105,2,7
455,105,28,10
456,105,54,20
457,105,80,26
458,106,2,6
459,106,28,11
460,106,54,22
461,106,80,29
462,106,106,71
463,107,2,9
464,107,28,18
465,107,54,18
466,107,80,42
467,107,106,30
468,108,2,8
469,108,29,10
470,108,56,19
471,108,83,28
472,109,2,13
473,109,29,10
474,109,56,23
475,109,83,42
476,110,2,7
477,110,29,11
478,110,56,20
479,110,83,32
480,110,110,40
481,111,2,6
482,111,29,16
483,111,56,27
484,111,83,59
485,111,110,35
486,112,2,9
487,112,30,13
488,112,58,21
489,112,86,41
490,113,2,6
491,113,30,24
492,113,58,26
493,113,86,34
494,114,2,15
495,114,30,16
496,114,58,24
497,114,86,32
498,114,114,34
499,115,2,6
500,115,30,11
501,115,58,42
502,115,86,34
503,115,114,36
504,116,2,7
505,116,31,31
506,116,60,23
507,116,89,37
508,117,2,10
509,117,31,16
510,117,60,42
511,117,89,37
512,118,2,8
513,118,31,13
514,118,60,24
515,118,89,33
516,118,118,38
517,119,2,6
518,119,31,13
519,119,60,25
520,119,89,44
521,119,118,53
522,120,2,6
